Produto	Agricultura, inclusive o apoio à agricultura e a pós-colheita	Pecuária, inclusive o apoio à pecuária	Produção florestal; pesca e aquicultura	Extração de carvão mineral e de minerais não-metálicos	Extração de petróleo e gás, inclusive as atividades de apoio	Extração de minério de ferro, inclusive beneficiamentos e a aglomeração	Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos	Abate e produtos de carne, inclusive os produtos do laticínio e da pesca	Fabricação e refino de açúcar	Outros produtos alimentares	Fabricação de bebidas	Fabricação de produtos do fumo	Fabricação de produtos têxteis	Confecção de artefatos do vestuário e acessórios	Fabricação de calçados e de artefatos de couro	Fabricação de produtos da madeira	Fabricação de celulose, papel e produtos de papel	Impressão e reprodução de gravações	Refino de petróleo e coquerias	Fabricação de biocombustíveis	Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros	Fabricação de defensivos, desinfestantes, tintas e químicos diversos	Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal	Fabricação de produtos farmoquímicos e farmacêuticos	Fabricação de produtos de borracha e de material plástico	Fabricação de produtos de minerais não-metálicos	Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura	Metalurgia de metais não-ferosos e a fundição de metais	Fabricação de produtos de metal, exceto máquinas e equipamentos	Fabricação de equipamentos de informática, produtos eletrônicos e ópticos	Fabricação de máquinas e equipamentos elétricos	Fabricação de máquinas e equipamentos mecânicos	Fabricação de automóveis, caminhões e ônibus, exceto peças	Fabricação de peças e acessórios para veículos automotores	Fabricação de outros equipamentos de transporte, exceto veículos automotores	Fabricação de móveis e de produtos de indústrias diversas	Manutenção, reparação e instalação de máquinas e equipamentos	Energia elétrica, gás natural e outras utilidades	Água, esgoto e gestão de resíduos	Construção	Comércio por atacado e varejo	Transporte terrestre	Transporte aquaviário	Transporte aéreo	Armazenamento, atividades auxiliares dos transportes e correio	Alojamento	Alimentação	Edição e edição integrada à impressão	Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem	Telecomunicações	Desenvolvimento de sistemas e outros serviços de informação	Intermediação financeira, seguros e previdência complementar	Atividades imobiliárias	Atividades jurídicas, contábeis, consultoria e sedes de empresas 	Serviços de arquitetura, engenharia, testes/análises técnicas e P & D	Outras atividades profissionais, científicas e técnicas	Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual	Outras atividades administrativas e serviços complementares	Atividades de vigilância, segurança e investigação	Administração pública, defesa e seguridade social	Educação pública	Educação privada	Saúde pública	Saúde privada	Atividades artísticas, criativas e de espetáculos	Organizações associativas e outros serviços pessoais	Serviços domésticos
Agricultura, inclusive o apoio à agricultura e a pós-colheita	 1,031136	 0,058112	 0,013290	 0,007485	 0,002882	 0,002434	 0,005526	 0,078246	 0,492289	 0,284686	 0,052217	 0,361847	 0,104843	 0,026926	 0,016536	 0,009387	 0,009265	 0,003555	 0,035084	 0,454042	 0,007409	 0,014700	 0,023736	 0,007828	 0,005968	 0,004998	 0,004053	 0,005246	 0,003276	 0,002202	 0,003735	 0,003432	 0,003660	 0,004859	 0,003036	 0,005502	 0,002981	 0,003155	 0,002867	 0,003597	 0,009520	 0,009262	 0,003288	 0,004612	 0,002135	 0,020568	 0,043341	 0,002269	 0,001916	 0,001747	 0,000830	 0,001098	 0,000234	 0,001126	 0,001940	 0,001934	 0,001712	 0,001949	 0,001516	 0,004998	 0,005933	 0,002410	 0,007415	 0,005104	 0,001773	 0,007215	 0,000000
Pecuária, inclusive o apoio à pecuária	 0,003948	 1,044180	 0,007041	 0,000984	 0,000371	 0,000242	 0,000610	 0,400616	 0,004600	 0,022295	 0,002989	 0,020369	 0,003362	 0,001971	 0,031104	 0,008808	 0,003880	 0,000668	 0,000870	 0,011681	 0,001003	 0,001239	 0,011464	 0,000644	 0,001352	 0,001785	 0,000883	 0,001182	 0,000708	 0,000378	 0,000567	 0,000519	 0,000562	 0,000602	 0,000477	 0,001335	 0,000390	 0,000285	 0,000512	 0,001726	 0,000783	 0,000404	 0,000294	 0,001029	 0,000429	 0,017833	 0,028965	 0,000447	 0,000629	 0,000872	 0,000242	 0,000387	 0,000115	 0,000369	 0,000500	 0,000559	 0,000301	 0,000537	 0,000186	 0,002344	 0,003849	 0,001219	 0,003888	 0,002872	 0,000493	 0,003498	 0,000000
Produção florestal; pesca e aquicultura	 0,004341	 0,010410	 1,064856	 0,000876	 0,000500	 0,000453	 0,000781	 0,014272	 0,002434	 0,005335	 0,002268	 0,007262	 0,003743	 0,002085	 0,003695	 0,145915	 0,053409	 0,004526	 0,000519	 0,002798	 0,002382	 0,001391	 0,004014	 0,001393	 0,014874	 0,003319	 0,007493	 0,000941	 0,003068	 0,001632	 0,001779	 0,002075	 0,002279	 0,002607	 0,002019	 0,014696	 0,001072	 0,000713	 0,000835	 0,003391	 0,001242	 0,000653	 0,000691	 0,000755	 0,000602	 0,003861	 0,004270	 0,002327	 0,001355	 0,000513	 0,000383	 0,000395	 0,000183	 0,000607	 0,000660	 0,001182	 0,000885	 0,000831	 0,000204	 0,000679	 0,000979	 0,000629	 0,001118	 0,001303	 0,000546	 0,001074	 0,000000
Extração de carvão mineral e de minerais não-metálicos	 0,004474	 0,005471	 0,001242	 1,020801	 0,004055	 0,000829	 0,001910	 0,003345	 0,003132	 0,004031	 0,003070	 0,002091	 0,003418	 0,001081	 0,002011	 0,001392	 0,003339	 0,001583	 0,002336	 0,008880	 0,024915	 0,008200	 0,004436	 0,001100	 0,004943	 0,068361	 0,008577	 0,011308	 0,003003	 0,000653	 0,003917	 0,001907	 0,002606	 0,003297	 0,002023	 0,002625	 0,001771	 0,007712	 0,009910	 0,018355	 0,000723	 0,000927	 0,000553	 0,000527	 0,000736	 0,001955	 0,001445	 0,000650	 0,000568	 0,000943	 0,000383	 0,000298	 0,000882	 0,000331	 0,000541	 0,000476	 0,000499	 0,000910	 0,000175	 0,000891	 0,000603	 0,000575	 0,001138	 0,000918	 0,000670	 0,000944	 0,000000
Extração de petróleo e gás, inclusive as atividades de apoio	 0,024984	 0,020899	 0,012741	 0,029847	 1,068476	 0,019918	 0,045119	 0,023149	 0,029297	 0,027267	 0,018053	 0,014426	 0,019395	 0,008538	 0,014009	 0,014472	 0,026328	 0,009527	 0,410755	 0,027289	 0,053477	 0,025777	 0,021481	 0,009812	 0,024453	 0,029465	 0,024771	 0,034538	 0,015469	 0,006958	 0,017265	 0,010945	 0,013683	 0,015654	 0,009974	 0,010877	 0,009092	 0,047137	 0,018530	 0,014616	 0,010702	 0,087854	 0,026537	 0,027618	 0,012484	 0,008576	 0,010178	 0,006680	 0,004960	 0,004290	 0,002630	 0,002683	 0,000635	 0,003537	 0,006886	 0,004580	 0,008853	 0,004736	 0,004948	 0,004895	 0,003464	 0,004856	 0,004650	 0,004564	 0,005004	 0,008352	 0,000000
Extração de minério de ferro, inclusive beneficiamentos e a aglomeração	 0,000380	 0,000640	 0,000224	 0,001416	 0,002402	 1,013596	 0,004603	 0,000929	 0,000467	 0,000775	 0,001861	 0,000360	 0,000446	 0,000366	 0,000450	 0,000627	 0,000898	 0,000749	 0,001086	 0,000507	 0,000650	 0,000976	 0,001177	 0,000392	 0,001695	 0,003340	 0,118366	 0,006190	 0,026265	 0,000875	 0,008050	 0,011988	 0,009155	 0,014266	 0,005769	 0,003425	 0,004886	 0,000906	 0,001354	 0,005301	 0,000613	 0,000925	 0,000668	 0,000342	 0,000428	 0,000467	 0,000550	 0,000388	 0,000271	 0,000407	 0,000216	 0,000135	 0,000079	 0,000186	 0,000533	 0,000250	 0,000898	 0,000373	 0,000167	 0,000327	 0,000199	 0,000259	 0,000395	 0,000324	 0,000385	 0,000332	 0,000000
Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos	 0,000353	 0,000349	 0,000140	 0,000741	 0,000960	 0,000527	 1,045410	 0,000622	 0,000367	 0,000687	 0,000703	 0,000296	 0,000396	 0,000307	 0,000366	 0,000370	 0,001103	 0,002079	 0,000465	 0,000423	 0,001087	 0,001200	 0,000737	 0,000294	 0,000765	 0,001502	 0,017882	 0,135961	 0,005994	 0,000785	 0,012831	 0,004448	 0,003923	 0,010625	 0,004206	 0,003358	 0,004924	 0,000601	 0,000942	 0,001921	 0,000464	 0,000610	 0,000522	 0,000229	 0,000312	 0,000314	 0,000298	 0,000461	 0,000234	 0,000294	 0,000159	 0,000112	 0,000060	 0,000177	 0,000245	 0,000270	 0,000385	 0,000258	 0,000103	 0,000169	 0,000131	 0,000198	 0,000266	 0,000337	 0,000376	 0,000277	 0,000000
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca	 0,001253	 0,024024	 0,003942	 0,000675	 0,000315	 0,000244	 0,000471	 1,102460	 0,000948	 0,010444	 0,001965	 0,001156	 0,000612	 0,000439	 0,083289	 0,001046	 0,000873	 0,000471	 0,000924	 0,016347	 0,000664	 0,001240	 0,028740	 0,000751	 0,000604	 0,000495	 0,000462	 0,000544	 0,000887	 0,000374	 0,000485	 0,000500	 0,000533	 0,000447	 0,000394	 0,000494	 0,000416	 0,000335	 0,000280	 0,000375	 0,000638	 0,000438	 0,000320	 0,001793	 0,000339	 0,019366	 0,060413	 0,000386	 0,000898	 0,000480	 0,000252	 0,000501	 0,000046	 0,000541	 0,000396	 0,000693	 0,000331	 0,000662	 0,000273	 0,004612	 0,008295	 0,002460	 0,007912	 0,005056	 0,000734	 0,006275	 0,000000
Fabricação e refino de açúcar	 0,003171	 0,004406	 0,001638	 0,003833	 0,002021	 0,001712	 0,003999	 0,006500	 1,038514	 0,022758	 0,018449	 0,001759	 0,002020	 0,000920	 0,001806	 0,001715	 0,002590	 0,001638	 0,031939	 0,026458	 0,004938	 0,013358	 0,014073	 0,005546	 0,002686	 0,002809	 0,002265	 0,002988	 0,001574	 0,000797	 0,001744	 0,001786	 0,001459	 0,001509	 0,001128	 0,001233	 0,001684	 0,003243	 0,001593	 0,001606	 0,001246	 0,007563	 0,002311	 0,002476	 0,001343	 0,001908	 0,007595	 0,000868	 0,000685	 0,000533	 0,000315	 0,000366	 0,000091	 0,000431	 0,000934	 0,000667	 0,000848	 0,000769	 0,000973	 0,001291	 0,001127	 0,000731	 0,001471	 0,001099	 0,000711	 0,001600	 0,000000
Outros produtos alimentares	 0,010692	 0,074610	 0,019750	 0,008965	 0,001371	 0,001373	 0,002777	 0,106085	 0,006788	 1,111912	 0,041272	 0,006998	 0,004145	 0,002425	 0,011562	 0,005916	 0,012847	 0,003963	 0,005973	 0,069130	 0,006174	 0,015560	 0,028853	 0,003839	 0,004506	 0,003522	 0,002714	 0,003125	 0,002741	 0,002038	 0,002940	 0,002833	 0,002656	 0,002687	 0,002454	 0,003127	 0,002582	 0,001079	 0,001585	 0,002253	 0,004181	 0,002574	 0,001322	 0,003626	 0,001199	 0,016297	 0,056859	 0,002200	 0,001680	 0,001419	 0,000714	 0,001257	 0,000218	 0,001175	 0,001312	 0,001941	 0,001242	 0,001346	 0,000567	 0,004169	 0,008560	 0,003012	 0,013013	 0,006608	 0,002181	 0,009031	 0,000000
Fabricação de bebidas	 0,000213	 0,000308	 0,000142	 0,000381	 0,000422	 0,000294	 0,000541	 0,002938	 0,000314	 0,000628	 1,135232	 0,000361	 0,000359	 0,000286	 0,000537	 0,000312	 0,000433	 0,000436	 0,000485	 0,000387	 0,000440	 0,000669	 0,000643	 0,000771	 0,000436	 0,000387	 0,000499	 0,000553	 0,000567	 0,000388	 0,000561	 0,000872	 0,000689	 0,000487	 0,000528	 0,000367	 0,000792	 0,000377	 0,000297	 0,000409	 0,000405	 0,000362	 0,000368	 0,003989	 0,000397	 0,023243	 0,132754	 0,000405	 0,001399	 0,000594	 0,000317	 0,001233	 0,000072	 0,000905	 0,000327	 0,000947	 0,000311	 0,000840	 0,000181	 0,002233	 0,001501	 0,000733	 0,004170	 0,003342	 0,001277	 0,007884	 0,000000
Fabricação de produtos do fumo	 0,000012	 0,000016	 0,000006	 0,000012	 0,000007	 0,000009	 0,000015	 0,000030	 0,000012	 0,000031	 0,000019	 1,104247	 0,000026	 0,000023	 0,000030	 0,000025	 0,000070	 0,000046	 0,000006	 0,000014	 0,000016	 0,000023	 0,000042	 0,000026	 0,000029	 0,000029	 0,000019	 0,000026	 0,000022	 0,000027	 0,000027	 0,000025	 0,000026	 0,000027	 0,000022	 0,000026	 0,000019	 0,000006	 0,000009	 0,000015	 0,000009	 0,000013	 0,000009	 0,000007	 0,000007	 0,000012	 0,000017	 0,000030	 0,000009	 0,000009	 0,000006	 0,000004	 0,000001	 0,000007	 0,000028	 0,000014	 0,000013	 0,000008	 0,000003	 0,000004	 0,000006	 0,000010	 0,000010	 0,000017	 0,000007	 0,000008	 0,000000
Fabricação de produtos têxteis	 0,003659	 0,000996	 0,000512	 0,012920	 0,001382	 0,000479	 0,001152	 0,001354	 0,004904	 0,003095	 0,001614	 0,001815	 1,234164	 0,249568	 0,089937	 0,001024	 0,003135	 0,001516	 0,000890	 0,002227	 0,001346	 0,002150	 0,001943	 0,003455	 0,010289	 0,002420	 0,000933	 0,001015	 0,001701	 0,000847	 0,001909	 0,001301	 0,006238	 0,020376	 0,004354	 0,023274	 0,001105	 0,000900	 0,001621	 0,002186	 0,001105	 0,001806	 0,002091	 0,002662	 0,000940	 0,015076	 0,001888	 0,000802	 0,001911	 0,000759	 0,000389	 0,000846	 0,000117	 0,000417	 0,001408	 0,001268	 0,000839	 0,000749	 0,002096	 0,000837	 0,001647	 0,000563	 0,001292	 0,001790	 0,001643	 0,006372	 0,000000
Confecção de artefatos do vestuário e acessórios	 0,000372	 0,000368	 0,000820	 0,000997	 0,001165	 0,000380	 0,000640	 0,000668	 0,000604	 0,000733	 0,000767	 0,000588	 0,003191	 1,041924	 0,003467	 0,000531	 0,000705	 0,000474	 0,000604	 0,000540	 0,000569	 0,000778	 0,000656	 0,000571	 0,000621	 0,000922	 0,000800	 0,000701	 0,001316	 0,000503	 0,000679	 0,000782	 0,000805	 0,001106	 0,000616	 0,000941	 0,000596	 0,001226	 0,003297	 0,000556	 0,000868	 0,001344	 0,001465	 0,008297	 0,002060	 0,005950	 0,001503	 0,000513	 0,004912	 0,001288	 0,000404	 0,002507	 0,000183	 0,000414	 0,003405	 0,002571	 0,000426	 0,001389	 0,007461	 0,001847	 0,004338	 0,000623	 0,001039	 0,000847	 0,003951	 0,009370	 0,000000
Fabricação de calçados e de artefatos de couro	 0,000128	 0,000203	 0,000063	 0,000533	 0,000118	 0,000100	 0,000182	 0,000304	 0,000115	 0,000328	 0,000240	 0,000175	 0,000347	 0,000531	 1,176253	 0,000212	 0,000740	 0,000244	 0,000079	 0,000195	 0,000226	 0,000465	 0,000418	 0,000183	 0,000496	 0,000315	 0,000203	 0,000210	 0,000626	 0,000136	 0,000264	 0,000246	 0,000316	 0,000362	 0,000234	 0,000487	 0,000218	 0,000888	 0,000178	 0,000244	 0,000097	 0,000126	 0,000095	 0,000151	 0,000109	 0,000240	 0,000183	 0,000135	 0,001244	 0,000114	 0,000089	 0,000075	 0,000013	 0,000061	 0,000129	 0,000530	 0,000113	 0,000116	 0,001784	 0,000104	 0,000102	 0,000105	 0,000148	 0,000196	 0,000121	 0,000137	 0,000000
Fabricação de produtos da madeira	 0,002469	 0,002989	 0,000808	 0,001201	 0,000698	 0,000736	 0,001204	 0,002353	 0,001526	 0,003382	 0,003019	 0,001904	 0,002015	 0,002722	 0,001828	 1,144012	 0,009901	 0,001501	 0,000552	 0,001633	 0,001047	 0,001815	 0,001551	 0,000834	 0,001367	 0,001806	 0,001269	 0,001423	 0,003609	 0,000870	 0,001295	 0,005473	 0,003452	 0,002737	 0,007312	 0,102434	 0,001574	 0,003391	 0,001792	 0,010901	 0,002905	 0,000659	 0,001235	 0,000548	 0,001629	 0,001138	 0,001145	 0,001064	 0,006984	 0,001082	 0,000507	 0,000458	 0,000831	 0,000573	 0,000917	 0,003235	 0,001462	 0,001268	 0,000266	 0,000715	 0,000788	 0,000721	 0,001793	 0,003938	 0,001274	 0,001902	 0,000000
Fabricação de celulose, papel e produtos de papel	 0,004469	 0,006010	 0,002340	 0,004618	 0,002782	 0,003218	 0,005419	 0,023040	 0,004616	 0,023700	 0,011719	 0,075334	 0,024299	 0,017530	 0,030558	 0,026525	 1,186567	 0,080790	 0,002946	 0,006749	 0,004677	 0,008953	 0,056254	 0,022600	 0,027407	 0,030764	 0,004638	 0,004607	 0,016894	 0,025748	 0,012555	 0,006866	 0,010176	 0,015958	 0,006888	 0,020564	 0,004850	 0,002838	 0,004853	 0,006834	 0,009099	 0,003864	 0,008850	 0,004313	 0,005737	 0,014209	 0,010749	 0,045843	 0,007365	 0,004519	 0,005324	 0,005825	 0,001055	 0,009691	 0,008451	 0,014221	 0,011113	 0,011669	 0,002673	 0,003761	 0,005856	 0,007605	 0,004553	 0,008784	 0,005808	 0,007933	 0,000000
Impressão e reprodução de gravações	 0,001127	 0,001548	 0,000842	 0,001866	 0,001337	 0,001239	 0,002123	 0,003194	 0,002046	 0,003593	 0,009073	 0,003654	 0,002532	 0,002624	 0,003493	 0,002351	 0,005766	 1,075396	 0,001254	 0,002098	 0,002031	 0,003029	 0,004110	 0,003609	 0,002897	 0,002627	 0,002271	 0,002401	 0,002317	 0,004756	 0,003174	 0,002640	 0,003608	 0,002611	 0,002372	 0,002743	 0,001801	 0,001894	 0,001642	 0,001724	 0,008660	 0,001844	 0,001808	 0,003347	 0,002606	 0,002871	 0,002848	 0,089756	 0,017945	 0,009666	 0,013602	 0,007350	 0,000970	 0,005241	 0,005635	 0,049477	 0,003867	 0,009597	 0,001134	 0,003677	 0,003217	 0,005034	 0,002717	 0,002528	 0,013372	 0,006261	 0,000000
Refino de petróleo e coquerias	 0,078125	 0,065149	 0,041431	 0,095431	 0,032038	 0,057550	 0,144723	 0,073103	 0,095957	 0,082779	 0,052948	 0,044097	 0,048724	 0,024252	 0,042521	 0,041178	 0,065328	 0,027279	 1,416792	 0,088071	 0,148964	 0,075866	 0,064927	 0,029494	 0,071632	 0,083348	 0,067690	 0,095053	 0,039989	 0,021556	 0,051200	 0,032389	 0,040183	 0,041758	 0,029651	 0,032396	 0,027281	 0,050087	 0,040049	 0,042168	 0,033496	 0,300415	 0,089109	 0,093720	 0,039863	 0,022127	 0,031200	 0,019822	 0,014592	 0,010808	 0,007635	 0,007889	 0,001807	 0,010571	 0,019637	 0,013642	 0,028643	 0,012241	 0,016274	 0,012709	 0,010027	 0,013053	 0,013348	 0,013038	 0,013287	 0,024484	 0,000000
