Produto	Agricultura, inclusive o apoio à agricultura e a pós-colheita	Pecuária, inclusive o apoio à pecuária	Produção florestal; pesca e aquicultura	Extração de carvão mineral e de minerais não-metálicos	Extração de petróleo e gás, inclusive as atividades de apoio	Extração de minério de ferro, inclusive beneficiamentos e a aglomeração	Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos	Abate e produtos de carne, inclusive os produtos do laticínio e da pesca	Fabricação e refino de açúcar	Outros produtos alimentares	Fabricação de bebidas	Fabricação de produtos do fumo	Fabricação de produtos têxteis	Confecção de artefatos do vestuário e acessórios	Fabricação de calçados e de artefatos de couro	Fabricação de produtos da madeira	Fabricação de celulose, papel e produtos de papel	Impressão e reprodução de gravações	Refino de petróleo e coquerias	Fabricação de biocombustíveis	Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros	Fabricação de defensivos, desinfestantes, tintas e químicos diversos	Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal	Fabricação de produtos farmoquímicos e farmacêuticos	Fabricação de produtos de borracha e de material plástico	Fabricação de produtos de minerais não-metálicos	Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura	Metalurgia de metais não-ferosos e a fundição de metais	Fabricação de produtos de metal, exceto máquinas e equipamentos	Fabricação de equipamentos de informática, produtos eletrônicos e ópticos	Fabricação de máquinas e equipamentos elétricos	Fabricação de máquinas e equipamentos mecânicos	Fabricação de automóveis, caminhões e ônibus, exceto peças	Fabricação de peças e acessórios para veículos automotores	Fabricação de outros equipamentos de transporte, exceto veículos automotores	Fabricação de móveis e de produtos de indústrias diversas	Manutenção, reparação e instalação de máquinas e equipamentos	Energia elétrica, gás natural e outras utilidades	Água, esgoto e gestão de resíduos	Construção	Comércio por atacado e varejo	Transporte terrestre	Transporte aquaviário	Transporte aéreo	Armazenamento, atividades auxiliares dos transportes e correio	Alojamento	Alimentação	Edição e edição integrada à impressão	Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem	Telecomunicações	Desenvolvimento de sistemas e outros serviços de informação	Intermediação financeira, seguros e previdência complementar	Atividades imobiliárias	Atividades jurídicas, contábeis, consultoria e sedes de empresas 	Serviços de arquitetura, engenharia, testes/análises técnicas e P & D	Outras atividades profissionais, científicas e técnicas	Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual	Outras atividades administrativas e serviços complementares	Atividades de vigilância, segurança e investigação	Administração pública, defesa e seguridade social	Educação pública	Educação privada	Saúde pública	Saúde privada	Atividades artísticas, criativas e de espetáculos	Organizações associativas e outros serviços pessoais	Serviços domésticos
Fabricação de biocombustíveis	 0,003187	 0,003211	 0,001580	 0,003807	 0,002494	 0,001928	 0,004725	 0,003815	 0,009610	 0,006994	 0,004597	 0,001775	 0,001979	 0,000958	 0,001708	 0,001635	 0,002520	 0,001310	 0,043150	 1,011200	 0,005956	 0,007214	 0,018158	 0,007144	 0,002780	 0,002987	 0,002416	 0,003306	 0,001689	 0,000845	 0,001904	 0,001315	 0,001533	 0,001582	 0,001145	 0,001286	 0,001149	 0,002204	 0,001557	 0,001765	 0,001352	 0,010080	 0,002872	 0,003003	 0,001613	 0,001112	 0,002379	 0,000822	 0,000641	 0,000486	 0,000311	 0,000331	 0,000080	 0,000427	 0,001106	 0,000660	 0,001007	 0,000636	 0,001255	 0,001291	 0,000813	 0,000593	 0,001007	 0,000870	 0,000645	 0,001300	 0,000000
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros	 0,130908	 0,039473	 0,018135	 0,034083	 0,018338	 0,006249	 0,016218	 0,030303	 0,070686	 0,052343	 0,022683	 0,053603	 0,118854	 0,030189	 0,059267	 0,029432	 0,066904	 0,030158	 0,019479	 0,080570	 1,240854	 0,196372	 0,110142	 0,026360	 0,177652	 0,046471	 0,019724	 0,030345	 0,024723	 0,011262	 0,053514	 0,013205	 0,020975	 0,032865	 0,023388	 0,039197	 0,016849	 0,005739	 0,023909	 0,014843	 0,006712	 0,010019	 0,004658	 0,007399	 0,003663	 0,009395	 0,011863	 0,008663	 0,004094	 0,003231	 0,002042	 0,001833	 0,000997	 0,002816	 0,004125	 0,004669	 0,004658	 0,005332	 0,001507	 0,002854	 0,003482	 0,003232	 0,008102	 0,011658	 0,004928	 0,006873	 0,000000
Fabricação de defensivos, desinfestantes, tintas e químicos diversos	 0,055103	 0,015700	 0,003712	 0,095279	 0,004645	 0,004880	 0,012453	 0,016178	 0,028690	 0,031157	 0,010893	 0,023318	 0,023045	 0,007847	 0,015707	 0,025413	 0,033724	 0,066576	 0,006160	 0,031580	 0,023753	 1,080864	 0,046570	 0,017631	 0,048038	 0,027834	 0,009891	 0,008569	 0,013054	 0,010323	 0,011107	 0,007103	 0,011510	 0,011292	 0,010296	 0,016678	 0,016988	 0,003284	 0,010164	 0,019236	 0,005950	 0,004634	 0,002884	 0,003282	 0,002658	 0,005110	 0,006070	 0,016983	 0,006410	 0,003040	 0,002167	 0,001656	 0,002265	 0,001736	 0,003010	 0,006676	 0,003004	 0,007355	 0,000894	 0,002316	 0,003388	 0,002380	 0,008033	 0,003391	 0,003862	 0,003847	 0,000000
Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal	 0,002402	 0,001643	 0,000409	 0,002712	 0,001057	 0,001262	 0,002090	 0,002050	 0,001984	 0,002769	 0,001894	 0,001679	 0,002508	 0,001755	 0,001471	 0,001765	 0,002298	 0,001655	 0,001200	 0,002023	 0,002526	 0,005486	 1,026844	 0,001745	 0,002047	 0,002106	 0,001525	 0,002377	 0,004955	 0,001845	 0,001735	 0,001791	 0,001599	 0,001711	 0,001407	 0,001425	 0,001350	 0,000666	 0,001579	 0,001237	 0,002323	 0,001656	 0,001331	 0,000845	 0,001565	 0,003528	 0,001285	 0,001437	 0,001893	 0,002003	 0,000751	 0,000673	 0,000103	 0,001588	 0,002077	 0,002275	 0,002717	 0,007245	 0,000357	 0,000830	 0,001352	 0,002031	 0,001685	 0,004460	 0,004861	 0,005392	 0,000000
Fabricação de produtos farmoquímicos e farmacêuticos	 0,002995	 0,028049	 0,001184	 0,000633	 0,000585	 0,000202	 0,000343	 0,011238	 0,001636	 0,002221	 0,000745	 0,001736	 0,001622	 0,001312	 0,001739	 0,000766	 0,000809	 0,000536	 0,000396	 0,001839	 0,001266	 0,002566	 0,001698	 1,018809	 0,001839	 0,000804	 0,000353	 0,000431	 0,000402	 0,000322	 0,000723	 0,000537	 0,000560	 0,000594	 0,000405	 0,000697	 0,000489	 0,000165	 0,000284	 0,000587	 0,000310	 0,000253	 0,000224	 0,000204	 0,000209	 0,000855	 0,001175	 0,000262	 0,000227	 0,000247	 0,000142	 0,000117	 0,000041	 0,000159	 0,000631	 0,000435	 0,000274	 0,000265	 0,000080	 0,000510	 0,001628	 0,001006	 0,018042	 0,021546	 0,000510	 0,002357	 0,000000
Fabricação de produtos de borracha e de material plástico	 0,007028	 0,007725	 0,003647	 0,014776	 0,004940	 0,009014	 0,010948	 0,021579	 0,010040	 0,038938	 0,055694	 0,005912	 0,013147	 0,009783	 0,029821	 0,012116	 0,018268	 0,057189	 0,004032	 0,009546	 0,017877	 0,020293	 0,054719	 0,012401	 1,140463	 0,031353	 0,012315	 0,007985	 0,013670	 0,023951	 0,038296	 0,024530	 0,064341	 0,050871	 0,029574	 0,038107	 0,024646	 0,004187	 0,011079	 0,025056	 0,009839	 0,021961	 0,004607	 0,028616	 0,004703	 0,006089	 0,013032	 0,008579	 0,003854	 0,003608	 0,002692	 0,001984	 0,000739	 0,004519	 0,003461	 0,005342	 0,009599	 0,005467	 0,001184	 0,002561	 0,003072	 0,003074	 0,007500	 0,006766	 0,003964	 0,006210	 0,000000
Fabricação de produtos de minerais não-metálicos	 0,011963	 0,018295	 0,003135	 0,006802	 0,003983	 0,002678	 0,004726	 0,009254	 0,008791	 0,010949	 0,026166	 0,005502	 0,003748	 0,002179	 0,002723	 0,002686	 0,005714	 0,004169	 0,002799	 0,007035	 0,006951	 0,006703	 0,011787	 0,002483	 0,007868	 1,116053	 0,006296	 0,006456	 0,004102	 0,001618	 0,007180	 0,004784	 0,014263	 0,004408	 0,006537	 0,008642	 0,005398	 0,010280	 0,025633	 0,102063	 0,001921	 0,001722	 0,001487	 0,001361	 0,002584	 0,012229	 0,007849	 0,001947	 0,002115	 0,004254	 0,001600	 0,001139	 0,004925	 0,001128	 0,002007	 0,001621	 0,001616	 0,003150	 0,000499	 0,003677	 0,002145	 0,001916	 0,004485	 0,002170	 0,002410	 0,003820	 0,000000
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura	 0,003481	 0,005937	 0,002119	 0,013648	 0,023296	 0,008756	 0,023159	 0,008842	 0,004361	 0,007297	 0,017709	 0,003349	 0,004215	 0,003474	 0,004279	 0,006027	 0,008527	 0,006986	 0,010513	 0,004777	 0,006077	 0,009192	 0,011073	 0,003518	 0,016318	 0,016619	 1,156548	 0,043380	 0,256313	 0,008323	 0,077068	 0,116679	 0,088780	 0,138195	 0,055816	 0,032961	 0,047121	 0,008589	 0,012734	 0,050178	 0,005849	 0,008926	 0,006422	 0,003272	 0,003996	 0,004290	 0,005189	 0,003681	 0,002551	 0,003832	 0,001984	 0,001256	 0,000693	 0,001743	 0,003400	 0,002349	 0,008637	 0,003541	 0,001595	 0,003095	 0,001881	 0,002277	 0,003733	 0,003070	 0,003555	 0,003120	 0,000000
Metalurgia de metais não-ferosos e a fundição de metais	 0,002263	 0,001895	 0,000835	 0,003936	 0,002840	 0,002386	 0,011773	 0,003879	 0,002313	 0,004537	 0,003457	 0,001926	 0,002629	 0,002061	 0,002417	 0,002281	 0,007863	 0,015951	 0,001679	 0,002606	 0,007499	 0,008479	 0,004567	 0,001944	 0,004208	 0,004830	 0,016931	 1,129907	 0,020077	 0,005397	 0,095367	 0,023285	 0,021724	 0,070430	 0,027701	 0,023291	 0,035280	 0,003758	 0,005868	 0,009044	 0,003088	 0,003736	 0,003491	 0,001427	 0,002042	 0,001936	 0,001743	 0,003306	 0,001584	 0,001915	 0,001052	 0,000751	 0,000362	 0,001230	 0,001402	 0,001904	 0,002141	 0,001662	 0,000644	 0,000980	 0,000826	 0,001328	 0,001689	 0,002359	 0,002623	 0,001848	 0,000000
Fabricação de produtos de metal, exceto máquinas e equipamentos	 0,004593	 0,007352	 0,002931	 0,010405	 0,014405	 0,013393	 0,025250	 0,015294	 0,005930	 0,013388	 0,056001	 0,004961	 0,006231	 0,004710	 0,006066	 0,012980	 0,007711	 0,008399	 0,007852	 0,006832	 0,008451	 0,020504	 0,028176	 0,005093	 0,007562	 0,008420	 0,035828	 0,015757	 1,082979	 0,016001	 0,041704	 0,059941	 0,037951	 0,043878	 0,068811	 0,020299	 0,055786	 0,014126	 0,020507	 0,044335	 0,004222	 0,005252	 0,006495	 0,003061	 0,004006	 0,006882	 0,012347	 0,004062	 0,002858	 0,003656	 0,001970	 0,001331	 0,001109	 0,001758	 0,002904	 0,002535	 0,003431	 0,004377	 0,003339	 0,004238	 0,002050	 0,002254	 0,004336	 0,003336	 0,003693	 0,004218	 0,000000
Fabricação de equipamentos de informática, produtos eletrônicos e ópticos	 0,000589	 0,000653	 0,000366	 0,001756	 0,002663	 0,001204	 0,002321	 0,001263	 0,001091	 0,001281	 0,001579	 0,001105	 0,001074	 0,001223	 0,001151	 0,001069	 0,001779	 0,005295	 0,001341	 0,001193	 0,001283	 0,001576	 0,001543	 0,001490	 0,001362	 0,001706	 0,002379	 0,002198	 0,001451	 1,102261	 0,006236	 0,006423	 0,003338	 0,002909	 0,002625	 0,001584	 0,008460	 0,002178	 0,001555	 0,002209	 0,001282	 0,001124	 0,002274	 0,001553	 0,002911	 0,001120	 0,000776	 0,002344	 0,008000	 0,003097	 0,014303	 0,001912	 0,000183	 0,002358	 0,014832	 0,005024	 0,002105	 0,005924	 0,001713	 0,001535	 0,003843	 0,002188	 0,003162	 0,002406	 0,001879	 0,003933	 0,000000
Fabricação de máquinas e equipamentos elétricos	 0,002078	 0,002872	 0,001224	 0,005105	 0,003935	 0,003353	 0,006661	 0,003192	 0,002830	 0,003290	 0,003555	 0,002260	 0,004362	 0,002433	 0,002555	 0,003637	 0,004888	 0,004815	 0,002179	 0,002849	 0,004216	 0,003428	 0,003339	 0,002166	 0,004160	 0,005810	 0,006431	 0,008976	 0,004502	 0,023667	 1,098232	 0,024753	 0,011208	 0,017167	 0,011006	 0,005426	 0,034794	 0,028137	 0,008338	 0,018799	 0,002951	 0,004969	 0,005163	 0,001842	 0,003258	 0,004191	 0,001819	 0,002900	 0,003841	 0,008167	 0,001739	 0,001209	 0,001099	 0,003730	 0,003083	 0,002766	 0,002501	 0,004836	 0,000886	 0,001583	 0,001430	 0,001856	 0,002188	 0,001932	 0,003703	 0,006976	 0,000000
Fabricação de máquinas e equipamentos mecânicos	 0,001915	 0,002124	 0,001613	 0,014792	 0,026657	 0,033653	 0,054182	 0,003451	 0,003596	 0,003537	 0,005496	 0,002035	 0,003013	 0,002686	 0,002704	 0,005818	 0,006841	 0,009610	 0,011189	 0,004265	 0,004747	 0,004716	 0,004602	 0,002841	 0,005232	 0,007309	 0,016601	 0,015537	 0,009280	 0,004473	 0,016875	 1,121450	 0,018695	 0,010032	 0,014728	 0,004784	 0,121028	 0,004424	 0,006137	 0,011636	 0,003029	 0,004628	 0,019012	 0,004177	 0,006229	 0,002107	 0,002068	 0,005477	 0,001943	 0,002791	 0,001907	 0,001050	 0,000285	 0,001476	 0,002289	 0,002092	 0,003800	 0,007726	 0,001402	 0,001641	 0,001120	 0,001286	 0,003521	 0,001901	 0,002694	 0,002176	 0,000000
Fabricação de automóveis, caminhões e ônibus, exceto peças	 0,000352	 0,000431	 0,000194	 0,000526	 0,000314	 0,000379	 0,000611	 0,000714	 0,001650	 0,000812	 0,000628	 0,000453	 0,000697	 0,000515	 0,000627	 0,000540	 0,000701	 0,000561	 0,000287	 0,000531	 0,000562	 0,001074	 0,000792	 0,000671	 0,000635	 0,000631	 0,000764	 0,000821	 0,000615	 0,000872	 0,001981	 0,001486	 1,036854	 0,002420	 0,001768	 0,000602	 0,001465	 0,000647	 0,000375	 0,000666	 0,000751	 0,002700	 0,000364	 0,000221	 0,000327	 0,000302	 0,000426	 0,000441	 0,000264	 0,000333	 0,000190	 0,000102	 0,000040	 0,000162	 0,001314	 0,000292	 0,000344	 0,000214	 0,000092	 0,000175	 0,000160	 0,000321	 0,000278	 0,000342	 0,000224	 0,000302	 0,000000
Fabricação de peças e acessórios para veículos automotores	 0,002716	 0,003391	 0,001794	 0,004537	 0,003160	 0,003629	 0,006602	 0,006306	 0,005107	 0,007440	 0,006518	 0,003255	 0,004443	 0,003556	 0,005035	 0,004428	 0,005465	 0,004727	 0,002713	 0,004702	 0,004609	 0,005334	 0,006102	 0,004015	 0,006156	 0,005278	 0,007391	 0,007457	 0,006753	 0,005657	 0,009697	 0,010938	 0,240507	 1,123543	 0,007918	 0,004856	 0,010953	 0,002383	 0,002548	 0,004531	 0,017354	 0,038534	 0,003283	 0,002530	 0,002950	 0,002253	 0,003675	 0,003426	 0,001951	 0,001881	 0,001120	 0,000825	 0,000233	 0,001092	 0,003099	 0,002086	 0,005570	 0,001477	 0,000754	 0,002623	 0,002510	 0,001686	 0,003234	 0,002353	 0,001718	 0,002275	 0,000000
Fabricação de outros equipamentos de transporte, exceto veículos automotores	 0,000225	 0,000259	 0,000181	 0,000621	 0,000427	 0,000496	 0,000888	 0,000521	 0,000523	 0,000626	 0,000578	 0,000275	 0,000379	 0,000344	 0,000445	 0,000454	 0,000626	 0,000670	 0,000298	 0,000518	 0,000466	 0,000512	 0,000567	 0,000460	 0,000493	 0,000598	 0,001053	 0,000730	 0,000648	 0,000315	 0,000589	 0,001097	 0,000919	 0,000764	 1,163952	 0,000576	 0,005232	 0,000248	 0,000300	 0,000372	 0,000443	 0,004137	 0,000742	 0,000365	 0,000471	 0,000212	 0,000303	 0,000463	 0,000202	 0,000183	 0,000152	 0,000096	 0,000022	 0,000138	 0,000491	 0,000208	 0,000349	 0,000174	 0,000107	 0,000551	 0,000115	 0,000220	 0,000221	 0,000250	 0,000268	 0,000521	 0,000000
Fabricação de móveis e de produtos de indústrias diversas	 0,000577	 0,000620	 0,000506	 0,001180	 0,001140	 0,001013	 0,001489	 0,001078	 0,000887	 0,001375	 0,001981	 0,000741	 0,002042	 0,018851	 0,007872	 0,001651	 0,001389	 0,001749	 0,000710	 0,000818	 0,001638	 0,001881	 0,001833	 0,001341	 0,002793	 0,002616	 0,001376	 0,001159	 0,001410	 0,001112	 0,001689	 0,005426	 0,004222	 0,006964	 0,002456	 1,025194	 0,003315	 0,000840	 0,001545	 0,002334	 0,001024	 0,001121	 0,006391	 0,001141	 0,002083	 0,001009	 0,000707	 0,000983	 0,002254	 0,000762	 0,000968	 0,000753	 0,000260	 0,001377	 0,004552	 0,003309	 0,009182	 0,001199	 0,000750	 0,001150	 0,003430	 0,000793	 0,011226	 0,034023	 0,004143	 0,001272	 0,000000
Manutenção, reparação e instalação de máquinas e equipamentos	 0,004712	 0,004459	 0,005387	 0,040187	 0,019752	 0,017636	 0,048938	 0,009511	 0,014730	 0,008670	 0,012103	 0,006489	 0,011220	 0,011308	 0,009162	 0,019057	 0,035579	 0,057050	 0,012142	 0,019544	 0,016108	 0,016927	 0,012535	 0,012274	 0,011847	 0,033599	 0,068497	 0,045120	 0,023560	 0,005195	 0,018002	 0,022234	 0,012770	 0,021178	 0,016615	 0,015172	 1,019396	 0,011434	 0,018266	 0,012280	 0,007291	 0,007767	 0,065288	 0,020210	 0,026351	 0,004261	 0,005251	 0,033282	 0,007284	 0,007562	 0,007370	 0,003147	 0,000734	 0,006335	 0,005235	 0,008954	 0,020935	 0,007052	 0,007053	 0,003458	 0,002536	 0,003454	 0,008265	 0,006865	 0,012598	 0,007520	 0,000000
Energia elétrica, gás natural e outras utilidades	 0,050310	 0,058364	 0,020911	 0,061146	 0,009338	 0,024302	 0,049656	 0,043350	 0,030836	 0,043523	 0,030941	 0,032542	 0,076768	 0,025173	 0,030041	 0,050223	 0,064824	 0,025849	 0,008867	 0,035481	 0,072708	 0,036609	 0,028870	 0,016205	 0,053131	 0,081250	 0,074508	 0,097307	 0,040396	 0,011890	 0,036637	 0,025345	 0,027633	 0,047616	 0,025198	 0,025746	 0,018206	 1,375718	 0,078264	 0,018825	 0,025950	 0,013687	 0,011269	 0,008897	 0,017407	 0,068559	 0,021039	 0,017916	 0,020143	 0,022797	 0,009330	 0,010123	 0,002272	 0,010684	 0,009660	 0,014768	 0,009582	 0,036127	 0,005323	 0,015584	 0,015624	 0,032063	 0,019666	 0,019151	 0,029498	 0,035571	 0,000000
Água, esgoto e gestão de resíduos	 0,001785	 0,001672	 0,000761	 0,004492	 0,002102	 0,002961	 0,005825	 0,003351	 0,003249	 0,004452	 0,008105	 0,002257	 0,004246	 0,002431	 0,003127	 0,007115	 0,006465	 0,003343	 0,002470	 0,003133	 0,006538	 0,007312	 0,006560	 0,003235	 0,007089	 0,009076	 0,033117	 0,032703	 0,010470	 0,002552	 0,007665	 0,006453	 0,006384	 0,010201	 0,006491	 0,004628	 0,004138	 0,001944	 1,009185	 0,004084	 0,005215	 0,003288	 0,003154	 0,002573	 0,006999	 0,016612	 0,006421	 0,003778	 0,003698	 0,003544	 0,002513	 0,002622	 0,000795	 0,004144	 0,002357	 0,002816	 0,002750	 0,021189	 0,001821	 0,015415	 0,007197	 0,004265	 0,010435	 0,010779	 0,004586	 0,016715	 0,000000
Construção	 0,001986	 0,003170	 0,001245	 0,003305	 0,020722	 0,019726	 0,026640	 0,003619	 0,003370	 0,003718	 0,004216	 0,002615	 0,003590	 0,002382	 0,002669	 0,002490	 0,004096	 0,004409	 0,008918	 0,003930	 0,004370	 0,004038	 0,003593	 0,002912	 0,003300	 0,004047	 0,010107	 0,037857	 0,005088	 0,003425	 0,006674	 0,004732	 0,006230	 0,006607	 0,011761	 0,003394	 0,003238	 0,002703	 0,094114	 1,108622	 0,004802	 0,005568	 0,005151	 0,004431	 0,016951	 0,017590	 0,004325	 0,003926	 0,011831	 0,036942	 0,011721	 0,006511	 0,004308	 0,004223	 0,013743	 0,006899	 0,007584	 0,017373	 0,001786	 0,023276	 0,007165	 0,008662	 0,024013	 0,002906	 0,006763	 0,008859	 0,000000
Comércio por atacado e varejo	 0,068516	 0,094624	 0,034479	 0,075629	 0,039703	 0,050037	 0,093287	 0,153518	 0,070294	 0,154159	 0,104226	 0,094939	 0,114159	 0,112370	 0,128747	 0,106118	 0,141399	 0,114995	 0,056636	 0,086459	 0,098389	 0,120733	 0,122228	 0,086242	 0,123216	 0,118759	 0,115390	 0,161094	 0,106465	 0,104216	 0,145846	 0,146721	 0,131642	 0,132260	 0,124734	 0,127054	 0,120296	 0,033996	 0,052717	 0,085482	 1,041784	 0,086965	 0,052430	 0,043642	 0,030971	 0,048094	 0,096257	 0,096546	 0,047811	 0,055778	 0,026423	 0,017236	 0,005257	 0,021888	 0,034400	 0,065085	 0,053211	 0,031123	 0,017354	 0,021653	 0,028963	 0,030022	 0,059404	 0,092344	 0,030378	 0,040384	 0,000000
Transporte terrestre	 0,040269	 0,046119	 0,032284	 0,063313	 0,039307	 0,044523	 0,069347	 0,096661	 0,098521	 0,125269	 0,092885	 0,043308	 0,059084	 0,041430	 0,066812	 0,063406	 0,072687	 0,040154	 0,037139	 0,085280	 0,072633	 0,070803	 0,083013	 0,062587	 0,062751	 0,068472	 0,099579	 0,064727	 0,067162	 0,041760	 0,058134	 0,052005	 0,062867	 0,058585	 0,047893	 0,048190	 0,031677	 0,026195	 0,021705	 0,032859	 0,044057	 1,123391	 0,036004	 0,024193	 0,053301	 0,027346	 0,049228	 0,039014	 0,024106	 0,014531	 0,010830	 0,010426	 0,002046	 0,012167	 0,022914	 0,020789	 0,021443	 0,012068	 0,008157	 0,011825	 0,014745	 0,021869	 0,020838	 0,016515	 0,015124	 0,034896	 0,000000
