Produto	Agricultura, inclusive o apoio à agricultura e a pós-colheita	Pecuária, inclusive o apoio à pecuária	Produção florestal; pesca e aquicultura	Extração de carvão mineral e de minerais não-metálicos	Extração de petróleo e gás, inclusive as atividades de apoio	Extração de minério de ferro, inclusive beneficiamentos e a aglomeração	Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos	Abate e produtos de carne, inclusive os produtos do laticínio e da pesca	Fabricação e refino de açúcar	Outros produtos alimentares	Fabricação de bebidas	Fabricação de produtos do fumo	Fabricação de produtos têxteis	Confecção de artefatos do vestuário e acessórios	Fabricação de calçados e de artefatos de couro	Fabricação de produtos da madeira	Fabricação de celulose, papel e produtos de papel	Impressão e reprodução de gravações	Refino de petróleo e coquerias	Fabricação de biocombustíveis	Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros	Fabricação de defensivos, desinfestantes, tintas e químicos diversos	Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal	Fabricação de produtos farmoquímicos e farmacêuticos	Fabricação de produtos de borracha e de material plástico	Fabricação de produtos de minerais não-metálicos	Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura	Metalurgia de metais não-ferosos e a fundição de metais	Fabricação de produtos de metal, exceto máquinas e equipamentos	Fabricação de equipamentos de informática, produtos eletrônicos e ópticos	Fabricação de máquinas e equipamentos elétricos	Fabricação de máquinas e equipamentos mecânicos	Fabricação de automóveis, caminhões e ônibus, exceto peças	Fabricação de peças e acessórios para veículos automotores	Fabricação de outros equipamentos de transporte, exceto veículos automotores	Fabricação de móveis e de produtos de indústrias diversas	Manutenção, reparação e instalação de máquinas e equipamentos	Energia elétrica, gás natural e outras utilidades	Água, esgoto e gestão de resíduos	Construção	Comércio por atacado e varejo	Transporte terrestre	Transporte aquaviário	Transporte aéreo	Armazenamento, atividades auxiliares dos transportes e correio	Alojamento	Alimentação	Edição e edição integrada à impressão	Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem	Telecomunicações	Desenvolvimento de sistemas e outros serviços de informação	Intermediação financeira, seguros e previdência complementar	Atividades imobiliárias	Atividades jurídicas, contábeis, consultoria e sedes de empresas 	Serviços de arquitetura, engenharia, testes/análises técnicas e P & D	Outras atividades profissionais, científicas e técnicas	Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual	Outras atividades administrativas e serviços complementares	Atividades de vigilância, segurança e investigação	Administração pública, defesa e seguridade social	Educação pública	Educação privada	Saúde pública	Saúde privada	Atividades artísticas, criativas e de espetáculos	Organizações associativas e outros serviços pessoais	Serviços domésticos
Transporte aquaviário	 0,001276	 0,001058	 0,000489	 0,001262	 0,017266	 0,000657	 0,002142	 0,004251	 0,002282	 0,002922	 0,001158	 0,001365	 0,001588	 0,000874	 0,001382	 0,003886	 0,010371	 0,001958	 0,009311	 0,001498	 0,006108	 0,002064	 0,002483	 0,000763	 0,002046	 0,002277	 0,003581	 0,003374	 0,001697	 0,001347	 0,001695	 0,002117	 0,001744	 0,001827	 0,003179	 0,001160	 0,000904	 0,001110	 0,000706	 0,000892	 0,001037	 0,003517	 1,043347	 0,001031	 0,000865	 0,000638	 0,000990	 0,000835	 0,000471	 0,000348	 0,000317	 0,000233	 0,000055	 0,000304	 0,000395	 0,000518	 0,000528	 0,001014	 0,000237	 0,000279	 0,000266	 0,000379	 0,000376	 0,000391	 0,000493	 0,000524	 0,000000
Transporte aéreo	 0,001300	 0,001224	 0,000688	 0,002181	 0,008462	 0,001304	 0,003739	 0,002832	 0,001886	 0,002884	 0,002812	 0,003474	 0,002445	 0,001798	 0,003040	 0,002544	 0,003223	 0,002893	 0,003912	 0,001900	 0,003754	 0,005375	 0,002501	 0,003427	 0,002350	 0,003022	 0,002759	 0,002488	 0,002100	 0,004958	 0,003879	 0,003086	 0,003323	 0,002894	 0,002296	 0,001990	 0,002031	 0,003275	 0,001977	 0,003408	 0,003544	 0,002553	 0,007751	 1,002096	 0,008053	 0,003707	 0,001465	 0,002541	 0,005639	 0,003991	 0,005591	 0,005623	 0,000367	 0,005070	 0,005109	 0,008122	 0,002788	 0,002812	 0,001323	 0,002558	 0,001654	 0,017856	 0,003132	 0,001557	 0,003372	 0,058521	 0,000000
Armazenamento, atividades auxiliares dos transportes e correio	 0,008253	 0,006510	 0,004943	 0,008340	 0,021043	 0,022459	 0,032705	 0,020172	 0,035487	 0,023229	 0,033522	 0,009449	 0,011751	 0,007333	 0,012344	 0,012837	 0,025019	 0,016595	 0,014836	 0,025758	 0,015908	 0,021039	 0,018882	 0,014687	 0,010575	 0,011357	 0,033366	 0,014446	 0,019179	 0,015124	 0,020617	 0,011940	 0,027266	 0,016736	 0,016107	 0,010753	 0,008483	 0,007183	 0,004423	 0,007072	 0,014604	 0,030125	 0,141345	 0,082029	 1,038453	 0,007503	 0,009845	 0,009784	 0,006744	 0,008481	 0,004085	 0,013338	 0,001209	 0,005955	 0,006740	 0,008489	 0,008865	 0,007114	 0,003795	 0,008541	 0,003325	 0,009440	 0,005953	 0,005507	 0,005213	 0,020077	 0,000000
Alojamento	 0,000511	 0,000581	 0,000343	 0,001059	 0,001161	 0,000931	 0,001467	 0,001477	 0,000966	 0,001496	 0,001323	 0,001757	 0,001117	 0,000836	 0,001226	 0,000829	 0,001496	 0,001178	 0,000737	 0,000952	 0,001300	 0,002009	 0,001476	 0,002323	 0,001388	 0,001310	 0,001742	 0,001295	 0,001655	 0,001614	 0,001844	 0,002235	 0,001462	 0,001472	 0,001618	 0,001416	 0,001172	 0,001011	 0,000752	 0,001836	 0,001847	 0,001007	 0,000935	 0,002002	 0,001716	 1,000643	 0,000684	 0,002910	 0,003124	 0,001759	 0,002614	 0,001568	 0,000152	 0,001244	 0,002600	 0,002421	 0,002187	 0,000954	 0,000899	 0,002756	 0,001544	 0,002479	 0,002201	 0,000806	 0,002529	 0,031710	 0,000000
Alimentação	 0,000764	 0,000850	 0,000531	 0,001509	 0,001911	 0,000812	 0,001771	 0,001416	 0,001204	 0,001976	 0,001734	 0,001460	 0,001395	 0,001027	 0,001246	 0,001019	 0,001602	 0,001771	 0,001162	 0,001253	 0,001794	 0,002966	 0,001646	 0,004231	 0,001418	 0,001388	 0,001586	 0,002253	 0,001393	 0,001425	 0,001652	 0,001744	 0,002845	 0,001413	 0,001153	 0,001055	 0,001651	 0,001875	 0,001078	 0,000934	 0,001689	 0,001138	 0,001533	 0,026145	 0,001918	 0,008417	 1,000985	 0,001565	 0,008961	 0,003366	 0,001506	 0,006032	 0,000347	 0,005915	 0,001275	 0,005823	 0,001209	 0,005414	 0,000815	 0,014342	 0,007371	 0,003371	 0,027913	 0,014967	 0,002572	 0,052267	 0,000000
Edição e edição integrada à impressão	 0,000655	 0,000749	 0,000385	 0,000929	 0,000752	 0,000552	 0,000894	 0,001399	 0,000993	 0,001569	 0,003913	 0,001916	 0,001043	 0,000898	 0,001684	 0,000750	 0,001513	 0,006774	 0,000639	 0,001017	 0,002547	 0,001628	 0,002287	 0,002083	 0,001271	 0,001070	 0,001050	 0,001028	 0,000962	 0,001549	 0,001456	 0,000982	 0,001858	 0,001007	 0,001035	 0,000934	 0,000900	 0,001658	 0,000885	 0,000739	 0,002046	 0,000821	 0,000908	 0,001127	 0,001194	 0,004033	 0,001108	 1,010665	 0,004131	 0,003459	 0,002032	 0,006435	 0,000429	 0,004022	 0,002858	 0,042392	 0,002246	 0,001665	 0,000684	 0,002581	 0,011671	 0,026055	 0,001121	 0,001647	 0,002967	 0,003453	 0,000000
Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem	 0,001850	 0,003795	 0,001870	 0,003595	 0,003089	 0,001691	 0,002898	 0,007787	 0,003809	 0,008771	 0,031001	 0,012743	 0,003896	 0,004872	 0,011554	 0,002859	 0,006519	 0,004994	 0,002484	 0,003851	 0,003354	 0,006794	 0,015507	 0,014706	 0,005082	 0,004503	 0,003913	 0,003546	 0,004453	 0,009405	 0,007717	 0,004548	 0,012875	 0,004372	 0,005632	 0,004697	 0,003025	 0,006837	 0,003519	 0,003603	 0,008633	 0,003235	 0,003564	 0,005320	 0,005950	 0,007882	 0,006875	 0,020906	 1,120156	 0,037677	 0,007612	 0,011655	 0,001181	 0,011752	 0,004326	 0,424573	 0,010833	 0,005126	 0,003369	 0,004440	 0,002620	 0,012820	 0,004682	 0,002622	 0,018307	 0,007915	 0,000000
Telecomunicações	 0,004279	 0,005083	 0,002607	 0,009097	 0,009934	 0,005592	 0,010048	 0,013127	 0,012500	 0,017549	 0,021856	 0,009921	 0,016059	 0,021157	 0,015557	 0,009801	 0,016162	 0,037266	 0,007733	 0,012261	 0,010520	 0,015858	 0,010609	 0,014048	 0,013140	 0,016172	 0,010437	 0,009968	 0,012509	 0,019468	 0,018969	 0,013724	 0,027104	 0,032316	 0,015433	 0,016219	 0,008319	 0,007948	 0,009679	 0,008627	 0,016604	 0,011107	 0,010106	 0,009322	 0,017191	 0,021104	 0,010797	 0,019757	 0,023716	 1,226068	 0,019238	 0,030001	 0,002825	 0,023136	 0,012838	 0,042108	 0,008839	 0,015739	 0,013116	 0,014340	 0,009452	 0,022601	 0,009752	 0,013249	 0,014636	 0,022775	 0,000000
Desenvolvimento de sistemas e outros serviços de informação	 0,002636	 0,003087	 0,001409	 0,003979	 0,003266	 0,004812	 0,005753	 0,006852	 0,004122	 0,008405	 0,007571	 0,007276	 0,004988	 0,004048	 0,004871	 0,003526	 0,006782	 0,004489	 0,002826	 0,004191	 0,006755	 0,008688	 0,006049	 0,010599	 0,005632	 0,005250	 0,006379	 0,005151	 0,004830	 0,006501	 0,009351	 0,005388	 0,009843	 0,005681	 0,005509	 0,004784	 0,004045	 0,007223	 0,006222	 0,003735	 0,009490	 0,005915	 0,004184	 0,026814	 0,011157	 0,006414	 0,003591	 0,029791	 0,027244	 0,022810	 1,055039	 0,026740	 0,001605	 0,014219	 0,003834	 0,038163	 0,011405	 0,006708	 0,005225	 0,016132	 0,006057	 0,008305	 0,013502	 0,002903	 0,006857	 0,012418	 0,000000
Intermediação financeira, seguros e previdência complementar	 0,032335	 0,032635	 0,019893	 0,051083	 0,034924	 0,037505	 0,054387	 0,057094	 0,059620	 0,054736	 0,049496	 0,052514	 0,046960	 0,036535	 0,045791	 0,039446	 0,057098	 0,040702	 0,033163	 0,058666	 0,052635	 0,050033	 0,050011	 0,034217	 0,046439	 0,050142	 0,059394	 0,055386	 0,045421	 0,036237	 0,050487	 0,043596	 0,048192	 0,043823	 0,045440	 0,035123	 0,028430	 0,046296	 0,032538	 0,034791	 0,040687	 0,046333	 0,049734	 0,052548	 0,043280	 0,041383	 0,033310	 0,041455	 0,045422	 0,057825	 0,027838	 1,149375	 0,030870	 0,033973	 0,030480	 0,035305	 0,041229	 0,032207	 0,029958	 0,090452	 0,008607	 0,028440	 0,014120	 0,041793	 0,044133	 0,038825	 0,000000
Atividades imobiliárias	 0,003496	 0,004326	 0,002014	 0,006112	 0,005157	 0,003650	 0,006839	 0,009200	 0,007534	 0,009244	 0,008150	 0,007467	 0,011231	 0,010524	 0,008664	 0,005725	 0,008841	 0,007913	 0,004791	 0,008552	 0,006889	 0,008771	 0,010407	 0,009296	 0,009177	 0,008101	 0,008654	 0,007743	 0,007435	 0,007369	 0,008833	 0,008004	 0,008211	 0,008637	 0,007007	 0,008043	 0,005817	 0,006886	 0,007561	 0,006157	 0,029429	 0,007829	 0,009562	 0,008835	 0,020611	 0,037093	 0,018997	 0,015614	 0,020549	 0,019306	 0,012104	 0,014314	 1,003346	 0,021654	 0,012345	 0,018282	 0,018799	 0,013572	 0,007550	 0,006561	 0,004477	 0,036797	 0,006452	 0,012082	 0,074299	 0,019296	 0,000000
Atividades jurídicas, contábeis, consultoria e sedes de empresas 	 0,015450	 0,015105	 0,007156	 0,048049	 0,055492	 0,021953	 0,034169	 0,038058	 0,032032	 0,050541	 0,039738	 0,065280	 0,025954	 0,015931	 0,022701	 0,019708	 0,041626	 0,023508	 0,044767	 0,033349	 0,051995	 0,088946	 0,058528	 0,089713	 0,035985	 0,042965	 0,031773	 0,033881	 0,024537	 0,043666	 0,061685	 0,026876	 0,033024	 0,029719	 0,020586	 0,020963	 0,019192	 0,015044	 0,027841	 0,022509	 0,032366	 0,023680	 0,017040	 0,026836	 0,026255	 0,019021	 0,017265	 0,034596	 0,071056	 0,030709	 0,025986	 0,038378	 0,005632	 1,083703	 0,065257	 0,036398	 0,027906	 0,024642	 0,032447	 0,011474	 0,005775	 0,027670	 0,011118	 0,018224	 0,032035	 0,034069	 0,000000
Serviços de arquitetura, engenharia, testes/análises técnicas e P & D	 0,005793	 0,003884	 0,001377	 0,007756	 0,018169	 0,007848	 0,014789	 0,009930	 0,012318	 0,010067	 0,008705	 0,013693	 0,008791	 0,005709	 0,007455	 0,004832	 0,012455	 0,006611	 0,009339	 0,012129	 0,011457	 0,015817	 0,017380	 0,019828	 0,014716	 0,012313	 0,010626	 0,012185	 0,009362	 0,011375	 0,011177	 0,017767	 0,017980	 0,014229	 0,008243	 0,007058	 0,007177	 0,018783	 0,013118	 0,012441	 0,004009	 0,006252	 0,009406	 0,005399	 0,046776	 0,003377	 0,003198	 0,002566	 0,001819	 0,002088	 0,004555	 0,003132	 0,000390	 0,001253	 1,047984	 0,001874	 0,003831	 0,002299	 0,000756	 0,010742	 0,004744	 0,003405	 0,008787	 0,002100	 0,002079	 0,002842	 0,000000
Outras atividades profissionais, científicas e técnicas	 0,004271	 0,008993	 0,004436	 0,008307	 0,007061	 0,003831	 0,006536	 0,018352	 0,008669	 0,020551	 0,075036	 0,030741	 0,008664	 0,010814	 0,027510	 0,006440	 0,015086	 0,010307	 0,005687	 0,008776	 0,007626	 0,015795	 0,037481	 0,035369	 0,011719	 0,010151	 0,008992	 0,008071	 0,010221	 0,022052	 0,017887	 0,010356	 0,030178	 0,009013	 0,012959	 0,010617	 0,006910	 0,016373	 0,008113	 0,008346	 0,020324	 0,007303	 0,008207	 0,012562	 0,013714	 0,017699	 0,016264	 0,049009	 0,058514	 0,031506	 0,017670	 0,027097	 0,002754	 0,027693	 0,009948	 1,041913	 0,026125	 0,011511	 0,007346	 0,010158	 0,005913	 0,030291	 0,010951	 0,005689	 0,039212	 0,018202	 0,000000
Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual	 0,002177	 0,002101	 0,002964	 0,008517	 0,010678	 0,003725	 0,011531	 0,003845	 0,006428	 0,005348	 0,006221	 0,003528	 0,003236	 0,002636	 0,003257	 0,004660	 0,008140	 0,008021	 0,005738	 0,004094	 0,004514	 0,006237	 0,004379	 0,003741	 0,004477	 0,005815	 0,007925	 0,007315	 0,006116	 0,003920	 0,004749	 0,005181	 0,005476	 0,005631	 0,006179	 0,003987	 0,004838	 0,003778	 0,016252	 0,005784	 0,004794	 0,008657	 0,026345	 0,037528	 0,010758	 0,004613	 0,003331	 0,009472	 0,009963	 0,016708	 0,006541	 0,003267	 0,000506	 0,003469	 0,008435	 0,006835	 1,008795	 0,004419	 0,005367	 0,006237	 0,005750	 0,016440	 0,010914	 0,003934	 0,007633	 0,004853	 0,000000
Outras atividades administrativas e serviços complementares	 0,006729	 0,007681	 0,004288	 0,036116	 0,010474	 0,010428	 0,019294	 0,014651	 0,017863	 0,017397	 0,028248	 0,018138	 0,014525	 0,011069	 0,015134	 0,009922	 0,020144	 0,013964	 0,008801	 0,019240	 0,014556	 0,023905	 0,020448	 0,024257	 0,016933	 0,021672	 0,016842	 0,021201	 0,015709	 0,018035	 0,021640	 0,021776	 0,020942	 0,017220	 0,014323	 0,012757	 0,013493	 0,020022	 0,013239	 0,012797	 0,031486	 0,014695	 0,018879	 0,038079	 0,033766	 0,042736	 0,016726	 0,023912	 0,033467	 0,094116	 0,049192	 0,048263	 0,004276	 0,024589	 0,015293	 0,026611	 0,020185	 1,031805	 0,014206	 0,034110	 0,040607	 0,039813	 0,061170	 0,024002	 0,029581	 0,041755	 0,000000
Atividades de vigilância, segurança e investigação	 0,001696	 0,001793	 0,000947	 0,002725	 0,002346	 0,002416	 0,003824	 0,004146	 0,004945	 0,004389	 0,004911	 0,010998	 0,003163	 0,002355	 0,003544	 0,003505	 0,007518	 0,003633	 0,002200	 0,002810	 0,004354	 0,005724	 0,004123	 0,005502	 0,004508	 0,007162	 0,004118	 0,004178	 0,004207	 0,003945	 0,004294	 0,004341	 0,006404	 0,005480	 0,004554	 0,002964	 0,003919	 0,002785	 0,008609	 0,003345	 0,005984	 0,006433	 0,005984	 0,009596	 0,022615	 0,005374	 0,004122	 0,004360	 0,009243	 0,006112	 0,004367	 0,012996	 0,000820	 0,005376	 0,001863	 0,006316	 0,004053	 0,004396	 1,002082	 0,007412	 0,007911	 0,014195	 0,008866	 0,001663	 0,005379	 0,002657	 0,000000
Administração pública, defesa e seguridade social	 0,002284	 0,002821	 0,001200	 0,003759	 0,003948	 0,002743	 0,004310	 0,005020	 0,004178	 0,007392	 0,011047	 0,008241	 0,003217	 0,002465	 0,004657	 0,003095	 0,005232	 0,003014	 0,002986	 0,004056	 0,006088	 0,007485	 0,008417	 0,008474	 0,004220	 0,004321	 0,005411	 0,004869	 0,003825	 0,004955	 0,005666	 0,003779	 0,006506	 0,003915	 0,003500	 0,002896	 0,002576	 0,003961	 0,003228	 0,002604	 0,004399	 0,003191	 0,007088	 0,005850	 0,004934	 0,004228	 0,003420	 0,006926	 0,010385	 0,005431	 0,003719	 0,004901	 0,000603	 0,006373	 0,007619	 0,007500	 0,004443	 0,003499	 0,002223	 1,002934	 0,001981	 0,005968	 0,003040	 0,002566	 0,006980	 0,006236	 0,000000
Educação pública	 0,000136	 0,000140	 0,000048	 0,000315	 0,000272	 0,000365	 0,000267	 0,000262	 0,000223	 0,000339	 0,000348	 0,000403	 0,000259	 0,000169	 0,000207	 0,000129	 0,000297	 0,000188	 0,000181	 0,000219	 0,000360	 0,000748	 0,001068	 0,001462	 0,000403	 0,000298	 0,000449	 0,000479	 0,000304	 0,000739	 0,000497	 0,000404	 0,000940	 0,000593	 0,000344	 0,000185	 0,000191	 0,000322	 0,000219	 0,000205	 0,000238	 0,000185	 0,000225	 0,000207	 0,000471	 0,000228	 0,000141	 0,000192	 0,000243	 0,000504	 0,000519	 0,000292	 0,000027	 0,000359	 0,004895	 0,000239	 0,000409	 0,000237	 0,000151	 0,000219	 1,000229	 0,000919	 0,000325	 0,000199	 0,000215	 0,000286	 0,000000
Educação privada	 0,000610	 0,000652	 0,000341	 0,001438	 0,001400	 0,001989	 0,002537	 0,001343	 0,001197	 0,001642	 0,001685	 0,001536	 0,000983	 0,000693	 0,001013	 0,000811	 0,001866	 0,000922	 0,001065	 0,001172	 0,001411	 0,002272	 0,001715	 0,001926	 0,001199	 0,001301	 0,003107	 0,002581	 0,001906	 0,001220	 0,001747	 0,001451	 0,001989	 0,001414	 0,001023	 0,000877	 0,000928	 0,001218	 0,000838	 0,000843	 0,001596	 0,003567	 0,005452	 0,001587	 0,003115	 0,001008	 0,000773	 0,001199	 0,001662	 0,001892	 0,000957	 0,004417	 0,000220	 0,012894	 0,003696	 0,005881	 0,002169	 0,007612	 0,004007	 0,001598	 0,006134	 1,001112	 0,004035	 0,000715	 0,001046	 0,003133	 0,000000
Saúde pública	 0,000008	 0,000008	 0,000002	 0,000011	 0,000013	 0,000027	 0,000012	 0,000012	 0,000011	 0,000019	 0,000018	 0,000021	 0,000016	 0,000010	 0,000011	 0,000006	 0,000016	 0,000010	 0,000007	 0,000011	 0,000021	 0,000052	 0,000087	 0,000120	 0,000028	 0,000015	 0,000031	 0,000032	 0,000019	 0,000059	 0,000031	 0,000026	 0,000078	 0,000046	 0,000025	 0,000010	 0,000011	 0,000021	 0,000012	 0,000011	 0,000008	 0,000007	 0,000008	 0,000007	 0,000026	 0,000006	 0,000006	 0,000006	 0,000006	 0,000016	 0,000033	 0,000005	 0,000001	 0,000005	 0,000454	 0,000006	 0,000028	 0,000006	 0,000002	 0,000010	 0,000005	 0,000075	 1,000012	 0,002418	 0,000006	 0,000006	 0,000000
Saúde privada	 0,000044	 0,000055	 0,000025	 0,000077	 0,000065	 0,000047	 0,000086	 0,000116	 0,000095	 0,000117	 0,000103	 0,000095	 0,000141	 0,000132	 0,000109	 0,000072	 0,000111	 0,000099	 0,000060	 0,000107	 0,000087	 0,000112	 0,000133	 0,000121	 0,000116	 0,000102	 0,000110	 0,000098	 0,000094	 0,000094	 0,000112	 0,000101	 0,000106	 0,000110	 0,000089	 0,000101	 0,000073	 0,000087	 0,000095	 0,000077	 0,000368	 0,000098	 0,000120	 0,000111	 0,000258	 0,000464	 0,000238	 0,000196	 0,000258	 0,000242	 0,000152	 0,000179	 0,000042	 0,000271	 0,000169	 0,000229	 0,000236	 0,000170	 0,000095	 0,000188	 0,000070	 0,000462	 0,000165	 1,112516	 0,000928	 0,000242	 0,000000
Atividades artísticas, criativas e de espetáculos	 0,000244	 0,000474	 0,000237	 0,000475	 0,000411	 0,000244	 0,000411	 0,000967	 0,000500	 0,001090	 0,003664	 0,001532	 0,000520	 0,000635	 0,001406	 0,000389	 0,000832	 0,000679	 0,000326	 0,000503	 0,000445	 0,000858	 0,001858	 0,001766	 0,000657	 0,000595	 0,000519	 0,000482	 0,000584	 0,001187	 0,000980	 0,000601	 0,001579	 0,000601	 0,000718	 0,000612	 0,000395	 0,000841	 0,000441	 0,000458	 0,001068	 0,000429	 0,000464	 0,000663	 0,000816	 0,001638	 0,000846	 0,002464	 0,065643	 0,005904	 0,000995	 0,001440	 0,000146	 0,001428	 0,000551	 0,026127	 0,001305	 0,000795	 0,000420	 0,001589	 0,000651	 0,001577	 0,000986	 0,000441	 1,024864	 0,009588	 0,000000
Organizações associativas e outros serviços pessoais	 0,001518	 0,001526	 0,001318	 0,003561	 0,003652	 0,003524	 0,005229	 0,002934	 0,003416	 0,003221	 0,004303	 0,002964	 0,003360	 0,003257	 0,003479	 0,003259	 0,003835	 0,004710	 0,002480	 0,003052	 0,002739	 0,003161	 0,003309	 0,003250	 0,003532	 0,003819	 0,003557	 0,003484	 0,003948	 0,006677	 0,004498	 0,003730	 0,004178	 0,004099	 0,003103	 0,003249	 0,001687	 0,003629	 0,001251	 0,001678	 0,003438	 0,003008	 0,002806	 0,002381	 0,010737	 0,006198	 0,002164	 0,004110	 0,005990	 0,026441	 0,009280	 0,005464	 0,000480	 0,003486	 0,002010	 0,007221	 0,003001	 0,006295	 0,001720	 0,002217	 0,001272	 0,005605	 0,009154	 0,011917	 0,001779	 1,003616	 0,000000
Serviços domésticos	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 1,000000
